,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
273,Presses:  Bench Press,Cable,Yes,Basic or Auxiliary,Compound,Push,Lie on bench and grasp stirrups attached to low cable pulley on each side. Position stirrups out to each side of chest with bent arm under each wrist.,"Push stirrups up over each shoulder until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",272
274,"Presses:  Chest Press

Standing

",Cable,Yes,Basic or Auxiliary,Compound,Push,"Sit on seat and grasp stirrups to each side. Position elbows out to sides, slightly lower than shoulder height. Position hands slightly narrower than elbow width in front of upper arms.","Push stirrups out straight until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",272
275,Presses:  Decline Chest Press,Cable,Yes,Basic or Auxiliary,Compound,Push,"Sit on seat and grasp stirrups to each side. Position elbows out to sides, slightly lower than shoulder height. Position hands slightly narrower than elbow width in front of upper arms.","Push stirrups forward and slightly downward until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",272
276,Bench Press,Dumbbell,No,Basic,Compound,Push,Sit down on bench with dumbbells resting on lower thigh. Kick weights to shoulder and lie back. Position dumbbells to sides of chest with bent arm under each dumbbell.,Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
277,Decline Bench Press,Dumbbell,No,Basic or Auxiliary,Compound,Push,Sit down on decline bench with feet under leg brace and dumbbells resting on thigh. Lie back with dumbbells. Position dumbbells to sides of chest with bent arm under each dumbbell.,Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
278,Fly,Dumbbell,No,Auxiliary,Isolated,Push,Grasp two dumbbells. Lie supine on bench. Support dumbbells above chest with arms fixed in slightly bent position. Internally rotate shoulders so elbows point out to sides.,Lower dumbbells to sides until chest muscles are stretched with elbows fixed in slightly bent position. Bring dumbbells together in wide hugging motion until dumbbells are nearly together. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,
279,Pullover,Dumbbell,No,Auxiliary,Isolated,Push,Lie on upper back perpendicular to bench. Flex hips slightly. Grasp one dumbbell from behind or from side with both hands under inner plate of dumbbell. Position dumbbell over chest with elbows slightly bent.,"Keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. Pull dumbbell up and over chest. Repeat.","Pectoralis Major Sternal,","Latissimus Dorsi, Teres Major, Triceps, Long Head, Deltoid, Posterior, Pectoralis Minor, Rhomboids, Levator Scapulae, ","Triceps Brachii, Deltoid, Anterior, Pectoralis Major, Clavicular, Coracobrachialis, Wrist Flexors, ",,,Chest,2,"Latissimus Dorsi, Pectoralis Major Sternal, Pectoralis Major Clavicular",
280,Bench Press,Lever (plate loaded),No,Basic,Compound,Push,Lie supine on bench with chest under lever bar. Grasp lever bar with wide oblique overhand grip.,"Keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. Pull dumbbell up and over chest. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
281,Chest Dip,Lever (plate loaded),No,Basic,Compound,Push,"Sit on seat and grasp handles with oblique grip. If possible, place handles inwide position. Lean forward slightly.",Push lever down with elbows away from body. Return until chest is slightly stretched. Repeat.,"Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid",
282,Chest Press,Lever (plate loaded),No,Basic,Compound,Push,Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip; elbows out to sides just below shoulders.,Press levers until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
283,Decline Chest Press,Lever (plate loaded),No,Basic or Auxiliary,Compound,Push,Sit on seat with lever grips lower chest height. Grasp grips with wide overhand grip; elbows out to sides just below shoulders.,Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
284,Chest Dip,Lever (selectorized),No,Basic,Compound,Push,"If possible, place handles inwide position. Sit on seat and grasp handles with oblique grip. Lean forward slightly and allow elbows to flare out.",Push lever down by straightening arms. Return lever up with elbows flaring out until chest is slightly stretched. Repeat.,"Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid",
285,Flies,Lever (selectorized),No,Auxiliary,Isolated,Push,Lie supine on bench. Position both arms under padded levers. Slightly bend elbows and internally rotate shoulders so elbows are back.,Bring padded levers upward and together in hugging motion. Return to starting position until chest muscles are stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor, Deltoid, Anterior, Coracobrachialis, Serratus Anterior, ","No significant stabilizers, ",,,Chest,2,Anterior Deltoid,
286,Flies:  Lying Fly,Lever (selectorized),Yes,Auxiliary,Isolated,Push,Lie supine on bench. Position both arms under padded levers. Slightly bend elbows and internally rotate shoulders so elbows are back.,Bring padded levers upward and together in hugging motion. Return to starting position until chest muscles are stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor, Deltoid, Anterior, Coracobrachialis, Serratus Anterior, ","No significant stabilizers, ",,,Chest,2,Anterior Deltoid,285
287,Flies:  Pec Deck Fly,Lever (selectorized),Yes,Auxiliary,Isolated,Push,"Sit on machine with back on pad. If available, push foot lever until padded lever moves forward. Place forearms on padded lever. Position upper arms approximately parallel. Release foot lever.",Push levers together. Return until chest muscles are stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Coracobrachialis, Pectoralis Minor, Serratus Anterior, ","No significant stabilizers, ",,,Chest,2,Anterior Deltoid,285
288,Flies:  Seated Fly,Lever (selectorized),Yes,Auxiliary,Isolated,Push,"Sit on machine with back on pad. Grasp handles to both sides, shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are back.","Keeping elbows pointed high, push lever handles forward and together. Return to back toward original position until mild stretch is felt in chest or shoulder. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, Serratus Anterior, ","Biceps Brachii, Brachialis, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,285
289,Presses,Lever (selectorized),No,Basic,Compound,Push,Lie supine on bench with chest under lever bar. Grasp lever bar with wide oblique overhand grip.,Press bar until arms are extended. Lower weight to upp   er chest. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
290,Presses:  Bench Press,Lever (selectorized),Yes,Basic,Compound,Push,Lie supine on bench with chest under lever bar. Grasp lever bar with wide oblique overhand grip.,Press bar until arms are extended. Lower weight to upp   er chest. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",289
291,"Presses:  Chest Press

alternative machine

",Lever (selectorized),Yes,Basic,Compound,Push,Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip; elbows out to sides just below shoulders.,Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",289
292,Presses:  Decline Chest Press,Lever (selectorized),Yes,Basic or Auxiliary,Compound,Push,Sit on seat with lever grips lower chest height. Grasp grips with wide overhand grip; elbows out to sides just below shoulders.,Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",289
293,Standing Chest Dip,Sled,No,Basic or Auxiliary,Compound,Push,Sit on seat with lever grips lower chest height. Grasp grips with wide overhand grip; elbows out to sides just below shoulders.,Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
294,Bench Press,Smith,No,Basic,Compound,Push,Lie supine on bench with chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by rotating bar back.,Lower weight to chest. Press bar until arms are extended. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
295,Decline Bench Press,Smith,No,Basic or Auxiliary,Compound,Push,Lie supine on decline bench with feet under leg brace and chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by rotating bar back.,Lower weight to chest. Press bar until arms are extended. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
296,Chest Dip,Weighted,No,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Keep hips and knees bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.","Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid",
297,Push-up,Weighted,No,Basic or Auxiliary,Compound,Push,Lie prone on floor with hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight. Partner can place weight plate(s) on back if needed.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Rectus Abdominis, Obliques, Quadriceps, Pectoralis Minor, Serratus Anterior, ","Erector Spinae, ","Biceps Brachii, Short Head, ",Chest,2,"Triceps Brachii, Anterior Deltoid",
298,Chest Dip,Band-assisted,No,Basic or Auxiliary,Compound,Push,Lie prone on floor with hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight. Partner can place weight plate(s) on back if needed.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Rectus Abdominis, Obliques, Quadriceps, Pectoralis Minor, Serratus Anterior, ","Erector Spinae, ","Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
299,Chest Dip,Body Weight,No,Basic,Compound,Push,"Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Bend knees and hips slightly.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.","Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid",
300,Push-up,Body Weight,No,Basic or Auxiliary,Compound,Push,Lie prone with forefeet on floor and hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Serratus Anterior, Pectoralis Minor, Rectus Abdominis, Obliques, Quadriceps, ","Erector Spinae, ","Biceps Brachii, Short Head, ",Chest,2,"Triceps Brachii, Anterior Deltoid",
301,Push-up:  Archer,Body Weight,Yes,Basic or Auxiliary,Compound,Push,Lie prone with forefeet on floor and hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Serratus Anterior, Pectoralis Minor, Rectus Abdominis, Obliques, Quadriceps, ","Erector Spinae, ","Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",300
302,Push-up:  Incline,Body Weight,Yes,Basic or Auxiliary,Compound,Push,"Stand facing bench or sturdy elevated platform. Place hands on edge of bench or platform, slightly wider than shoulder width. Position forefoot back from bench or platform with arms and body straight. Arms should be perpendicular to body.","Keeping body straight, lower chest to edge of box or platform by bending arms. Push body up until arms are extended. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Rectus Abdominis, Obliques, Pectoralis Minor, Serratus Anterior, Quadriceps, Gastrocnemius, Soleus, ","Erector Spinae, ","Biceps Brachii, Short Head, ",Chest,2,"Triceps Brachii, Anterior Deltoid",300
303,Push-up:  on knees,Body Weight,Yes,Basic or Auxiliary,Compound,Push,Lie prone on floor with hands slightly wider than shoulder width. Bend knees and raise body up off floor by extending arms with body straight.,"Keeping body straight and knees bent, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Serratus Anterior, Pectoralis Minor, Rectus Abdominis, Obliques, ","Erector Spinae, ","Biceps Brachii, Short Head, ",Chest,1,"Triceps Brachii, Anterior Deltoid",300
304,Chest Dip,Self-assisted,No,Basic,Compound,Push,"Stand on bench or elevation between parallel bars. Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Bend knees and hips slightly and place forefoot on bench or elevation below.","Lower body by bending arms, allowing elbows to flare out to sides. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping forefeet in contact with bench or elevation. When slight stretch is felt in chest or shoulders, push body up until arms are straight and repeat, again with minimal assistance from legs.","Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid",
308,Clap Push-up,Plyometric,No,Plyometric,Compound,Push,Lie prone with forefeet on floor and hands positioned shoulder width or slightly wider. Assume plank position by pushing body up with arms extended and body straight.,"Lower body to floor and immediately push body up as fast as possible. As the hands leave ground, rapidly clap hands together and place back to original position, catching body before it falls. Repeat.",Pectoralis Major Sternal,,,,,Chest,4,"Triceps Brachii, Anterior Deltoid",
309,Depth Push-up,Plyometric,No,Plyometric,Compound,Push,Kneel on floor between two slightly elevated platforms slightly wider that shoulder width apart. Position hands on floor beside sides of platforms. Position upper body off of floor with arms extended. Straighten body and place forefeet back on floor.,"Lower body to floor and immediately push body up as fast as possible. As hands leave ground, rapidly place hands on platforms to sides, catching body before it falls. Lower body again. As soon as slight stretch is felt in chest or shoulders, immediately push upper body upward. Before upper body falls, immediately remove hands off of platforms and catch body by returning hands back on floor between platforms and repeat.",Pectoralis Major Sternal,,,,,Chest,3,"Triceps Brachii, Anterior Deltoid",
310,Incline Bench Press,Barbell,No,Basic or Auxiliary,Compound,Push,Lie supine on incline bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.,Lower weight to upper chest. Press bar until arms are extended. Repeat.,"Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
311,Incline Bench Press,Cable,No,Basic or Auxiliary,Compound,Push,Sit on seat and grasp stirrups to each side (attached to low cable pulleys). Lie back on incline back support. Position stirrups out to each side of chest with bent arm under each wrist.,"Push stirrups up over each shoulder until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in chest or shoulders. Repeat.","Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
312,Incline Chest Press,Cable,No,Basic or Auxiliary,Compound,Push,"Sit on seat and grasp stirrups to each side (attached to medium height pulleys). Position elbows out to sides, slightly lower than shoulder height. Position hands back approximately shoulder height and elbow width.","Push stirrups away from body, slightly upward at 30º to 45º until arms are straight and parallel to one another. Return stirrups to original position until slight stretch is felt in chest or shoulders. Repeat.","Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
313,Incline Fly,Cable,No,Auxiliary,Isolated,Push,Sit on seat with stirrups in each hand (attached to low cable pulleys). Lie back on incline back support. Position stirrups out to each side of chest with bent arm under each wrist. Press stirrups over each shoulder until arms vertical. Bend elbows slightly and internally rotate shoulders so elbows point out to sides.,"Lower stirrups outward to sides of shoulders. Keep elbows fixed in slightly bent position. When a stretch is felt in chest or shoulders, bring stirrups back together in hugging motion above upper chest until stirrups are nearly together Repeat.","Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,
314,Incline Bench Press,Dumbbell,No,Basic or Auxiliary,Compound,Push,Sit down on incline bench with dumbbells resting on lower thigh. Kick weights to shoulders and lean back. Position dumbbells to sides of chest with upper arm under each dumbbell.,Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of upper chest until slight stretch is felt in chest or shoulder. Repeat.,"Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
315,Incline Fly,Dumbbell,No,Auxiliary,Isolated,Push,Grasp two dumbbells. Lie supine on bench. Support dumbbells above upper chest with arms fixed in slightly bent position. Bend elbows slightly and internally rotate shoulders so elbows point out to sides.,"Lower dumbbells outward to sides of shoulders. Keep elbows fixed in slightly bent position. When a stretch is felt in chest or shoulders, bring dumbbells back together in hugging motion above upper chest until dumbbells are nearly together. Repeat.","Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,
316,Incline Chest Press,Lever (plate loaded),No,Basic or Auxiliary,Compound,Push,Sit on seat with upper chest just above grips on lever. Grasp grips with wide overhand grip and position elbows out to sides.,Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,"Pectoralis Major Clavicular,","Pectoralis Major, Sternal, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
