,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
540,Straight-leg Deadlift,Lever (plate loaded),No,Basic or Auxiliary,Compound,Pull,Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.,"With knees and back straight, bow forward by bending hips until hamstrings are tight, or just before lower back bends. Raise body upright by extending hips until standing. Pull shoulders back slightly at top of lift if rounded. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, Trapezius, Middle, Rhomboids, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
541,Bent-over Leg Curl,Lever (selectorized),,Basic,Isolated,Pull,"Stand in machine with lower pads behind lower legs, upper pads in front of thighs, and lever fulcrum between knees. Bend over, placing forearms on pads, and grasp handles. Stand with body weight shifted on foot of resting leg and raise foot of exercising leg slightly off of floor or platform.",Raise lever up by bending knee as high as possible. Return lever until knee is straight. Repeat. Continue with opposite leg.,Hamstrings,"Gastrings, Sartorius, Gracilis,","Gluteus Medius, Gluteus Minimus,","Tibialis Anterior,",,Thighs,2,Hamstrings,
542,Kneeling Leg Curl,Lever (selectorized),No,Basic,Isolated,Pull,Mount machine by placing supporting knee on horizontal pad and other leg under roller pad with knee against vertical pad. Grip handles and place forearm on padded arm rest.,Raise ankle to back of thigh by flexing knee. Lower ankle until knee is straight. Repeat. Continue with opposite leg.,"Hamstrings,","Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Gluteus Medius, Gluteus Maximus, ","Tibialis Anterior, ",,Thighs,2,Hamstrings,
543,Lying Leg Curl,Lever (selectorized),No,Basic,Isolated,Pull,"Facing bench, stand between bench and lever pads. Lie prone on bench with knees just beyond edge of bench and lower legs under lever pads. Grasp handles.",Raise lever pad to back of thighs by flexing knees. Lower lever pads until knees are straight. Repeat.,"Hamstrings,","Gastrocnemius, Sartorius, Gracilis, Popliteus, ",,"Tibialis Anterior, Rectus Femoris, ",,Thighs,2,Hamstrings,
544,Seated Leg Curl,Lever (selectorized),No,Basic,Isolated,Pull,Sit on apparatus with back against padded back support. Place back of lower legs on top of far padded lever. Secure lap pad on thighs just above knees. Grasp handles on lap support.,Pull far padded lever toward back of thighs by flexing knees. Return lever until knees are straight. Repeat.,"Hamstrings,","Gastrocnemius, Gracilis, Sartorius, Popliteus, ",,"Tibialis Anterior, ",,Thighs,2,Hamstrings,
545,Standing Leg Curl,Lever (selectorized),,Basic or Auxiliary,Isolated,Pull,Stand in machine with one or both legs between pads depending upon machine's design. Position exercising leg with lever pad behind lower leg and upper pad in front of lower thigh. Bend over and grasp handles for support if available. Stand with body weight shifted on foot of resting leg and raise foot of exercising leg slightly off of floor or platform.,Pull lever up to back of thigh by flexing knee. Return lever until knee is straight. Repeat. Continue with opposite leg.,Hamstrings,"Gastrocnemius, Sartorius, Gracilis,","Gluteus Medius, Gluteus Minimus,","Tibialis Anterior,",,Thighs,2,Hamstrings,
546,Good-morning,Smith,No,Basic or Auxiliary,Isolated,Pull,Position bar on back of shoulders. Grasp bar to sides. Disengage bar by rotating bar back.,Bend hips to lower torso forward until parallel to floor. Raise torso until hips are extended. Repeat.,"Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
547,Straight-leg Deadlift,Smith,No,Basic or Auxiliary,Compound,Pull,Stand with shoulder width or narrower stance with thigh against bar. Grasp bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.,"With knees and back straight, lower bar by bending hips until hamstrings are tight, or just before lower back bends. Lift bar by extending hips until straight. Pull shoulders back slightly if rounded. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, Trapezius, Middle, Rhomboids, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
548,Glute-Ham Raise,Weighted,No,Basic or Auxiliary,Isolated,Pull,Stand with shoulder width or narrower stance with thigh against bar. Grasp bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,4,"Hamstrings, Gluteus Maximus",
549,Hyperextension,Weighted,No,Basic or Auxiliary,Compound,Pull,Position thighs prone on large pad and lower leg under padded bar. Hold weight to chest or behind neck.,Raise upper body until hips and waist are fully extended. Lower body by bending hips and waist until fully flexed. Repeat.,"Hamstrings,","Erector Spinae, Gluteus Maximus, Adductor Magnus, ","See comments, ",,,Thighs,2,"Erector Spinae, Gluteus Maximus",
550,Hyperextension (45°),Weighted,No,Basic or Auxiliary,Compound,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,Raise upper body until hips and waist are fully extended. Lower body by bending hips and waist until fully flexed. Repeat.,"Hamstrings,","Erector Spinae, Gluteus Maximus, Adductor Magnus, ","See comments, ",,,Thighs,2,"Erector Spinae, Gluteus Maximus",
551,Hamstring Raise,Band-assisted,No,Basic or Auxiliary,Compound,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,Raise upper body until hips and waist are fully extended. Lower body by bending hips and waist until fully flexed. Repeat.,"Hamstrings,","Erector Spinae, Gluteus Maximus, Adductor Magnus, ","See comments, ",,,Thighs,3,"Hamstrings, Gluteus Maximus",
529,Seated Good-morning,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Sit on a bench and position hands behind head.,"Keeping back straight, bend hips to lower torso forward until parallel to floor. Raise torso until hips are extended. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
552,Glute-Ham Raise,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,4,"Hamstrings, Gluteus Maximus",
553,Glute-Ham Raise:  hands behind hips,Body Weight,Yes,Basic or Auxiliary,Isolated,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,4,"Hamstrings, Gluteus Maximus",552
554,Single Leg Hanging Hamstring Bridge,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,4,"Hamstrings, Gluteus Maximus",
555,Single Leg 45° Hyperextension,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,3,"Erector Spinae, Gluteus Maximus",
556,Straight Hip Leg Curl (on ball),Body Weight,No,Basic or Auxiliary,Isolated,Pull,Position thighs prone on padding. Hook heels under platform lip or padded brace. Hold weight to chest or behind neck.,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,3,Hamstrings,
557,Inverse Leg Curl,Self-assisted,No,Basic,Isolated,Pull,"Place elevated platform in front of glute-hamstring apparatus. Adjust padded supports and kneel upright in apparatus. Position knees against large roller pad or near-upper side of padded hump (depending on model), ankles between padded supports, and feet on platform.","Lower body with hips straight by slowly straightening knees. Position hands forward, ready to push body weight back up off of surface. Control descent only with hamstrings as low as possible before catching body by quickly placing hands on elevated platform and rapidly pushing off against platform, just enough to assist hamstrings in raising body upward. Return to upright kneeling position and repeat.","Hamstrings,","Gastrocnemius, Gracilis, Sartorius, Popliteus, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Wrist Flexors, ","Gluteus Maximus, Adductor Magnus, Erector Spinae, ","Rectus Abdominis, Obliques, Rectus Femoris, Tibialis Anterior, ",,Thighs,3,Hamstrings,
558,Leg Curl,Suspended,No,Basic or Auxiliary,Isolated,Pull,"Sit on floor facing suspension trainer in low position. Place heels in loops with soles contacting handles. Lay supine, extend legs out straight, and place arms on floor off to sides. Straighten low back, knees, and hips, raising back and hips off of floor.",Pull heels toward rear end by bending knees and hips simultaneously. Return to original position by straightening knees and hips. Repeat.,"Hamstrings,","Gastrocnemius, Sartorius, Gracilis, Popliteus, ","Gluteus Maximus, Erector Spinae, ","Tibialis Anterior, Rectus Abdominis, Obliques, ",,Thighs,2,Hamstrings,
559,Hanging Leg Curl,Suspended,No,Basic or Auxiliary,Isolated,Pull,"Sit on floor facing suspension trainer in low position. Place heels in loops with soles contacting handles. Lay supine, extend legs out straight, and place arms on floor off to sides. Straighten low back, knees, and hips, raising back and hips off of floor.",Pull heels toward rear end by bending knees and hips simultaneously. Return to original position by straightening knees and hips. Repeat.,"Hamstrings,","Gastrocnemius, Sartorius, Gracilis, Popliteus, ","Gluteus Maximus, Erector Spinae, ","Tibialis Anterior, Rectus Abdominis, Obliques, ",,Thighs,3,Hamstrings,
560,Straight Hip Leg Curl,Suspended,No,Basic or Auxiliary,Isolated,Pull,"Sit on floor facing suspension trainer in low position. Place heels in loops with soles contacting handles. Lay supine, extend legs out straight, and place arms on floor off to sides. Straighten low back, knees, and hips, raising back and hips off of floor.","Bend knees, pulling heels toward rear end while keeping hips and low back straight. Raise up until lower legs are vertical or fully flexed. Lower body to original position by straightening knees, maintaining straight hip position. Repeat.","Hamstrings,","Gastrocnemius, Sartorius, Gracilis, Popliteus, ","Gluteus Maximus, Erector Spinae, ","Tibialis Anterior, Rectus Abdominis, Obliques, ",,Thighs,3,Hamstrings,
