,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
576,Calf Extension,Lever (selectorized),No,Basic,Isolated,Push,Sit on seat and position forefeet on horizontal foot bar. Grasp handles to sides and straighten knees.,Push lever by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Gastrocnemius, Soleus",
577,Donkey Calf Raise,Lever (selectorized),No,Basic,Isolated,Push,Position lower back and hips under padded lever. Place forearms on supports. Position toes and balls of feet on calf block with arches and heels extending off. Straighten knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Serratus Anterior, Pectoralis Minor, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, ",,,Calves,3,"Gastrocnemius, Soleus",
578,Seated Calf Press,Lever (selectorized),No,Basic,Isolated,Push,Place seat away from platform. Sit on seat with lower back against back of seat. Place toes and balls of feet on lower portion of platform with heels and arches extending off. Grasp handles to sides and straighten knees.,Push lever by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
579,Standing Calf Raise,Lever (selectorized),No,Basic,Isolated,Push,Place shoulders under padded lever. Position toes and balls of feet on calf block with arches and heels extending off. Grasp handles or sides of padded lever. Stand erect by extending hips and knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",,,Calves,2,"Gastrocnemius, Soleus",
580,45° Calf Press,Sled,No,Basic,Isolated,Push,Sit on seat with back on padded support. Place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.,Push sled by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,3,"Gastrocnemius, Soleus",
581,45° Calf Raise,Sled,No,Basic,Isolated,Push,Sit on machine with lower back against padding and grasp handles to sides. Position toes and balls of feet on foot platform with arches and heels extending off. Straighten knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,3,"Gastrocnemius, Soleus",
582,Donkey Calf Raise,Sled,No,Basic,Isolated,Push,Position lower back and hips under upper pad. Place forearms on supports. Position toes and balls of feet on calf block with arches and heels extending off. Straighten knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Serratus Anterior, Pectoralis Minor, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, ",,,Calves,3,"Gastrocnemius, Soleus",
583,Lying Calf Press,Sled,No,Basic,Isolated,Push,Position sled away from platform. Lie supine on sled with shoulders against pad and place feet on platform. Grasp handles to sides and straighten knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.,Push sled away from platform by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Gastrocnemius, Soleus",
584,Seated Calf Press,Sled,No,Basic,Isolated,Push,Place seat away from platform. Sit on seat and place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.,Push sled by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
585,Standing Calf Raise,Sled,No,Basic,Isolated,Push,Place shoulders under padded bars. Position toes and balls of feet on calf block with arches and heels extending off. Grasp handles or sides of padded bars. Stand erect by extending hips and knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",,,Calves,2,"Gastrocnemius, Soleus",
586,Donkey Calf Raise,Smith,No,Basic,Isolated,Push,Engage both safety stops mid height so bar will be just above in lowest range of motion. Place calf block under bar. Position padded surface of tall bench orRoman Chairin front of smith machine for arm rest. Place stiffly padded board within arms reach. Step on calf block while standing between smith bar and arm rest. Situate padded board on back of hips while bending under smith bar. Arrange smith bar above upper hips or lower waist with padded board in between. Place forearms on supports. Lift bar off of safety stops by straighten knees. Position toes and balls of feet on calf block with arches and heels extending off.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Serratus Anterior, Pectoralis Minor, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, ",,,Calves,3,"Gastrocnemius, Soleus",
587,Standing Calf Raise,Smith,No,Basic,Isolated,Push,Position bar on upper chest height and place calf block under bar. Position back of shoulders under bar and grasp bar to sides. Position toes and balls of feet on calf block with arches and heels extending off. Disengage bar by rotating bar back. Stand erect by extending knees and hips.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Gastrocnemius, Soleus",
588,Single Leg Calf Raise,Weighted,No,Basic or Auxiliary,Isolated,Push,Hang weight from dip belt around waist. Position toes and ball of foot on calf block end of platform with heel and arch extending off. Place hand or hands on support for balance. Lift other leg to rear by bending knee.,Raise heel by extending ankle as high as possible. Lower heel by bending ankle until calf is stretched. Repeat. Continue with opposite leg.,"Gastrocnemius,","Soleus, ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,,Calves,3,"Gastrocnemius, Soleus",
589,Standing Calf Raise,Body Weight,No,Basic,Isolated,Push,Position toes and balls of feet on calf block with arches and heels extending off. Place hand on support for balance.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ",,,,Calves,2,"Gastrocnemius, Soleus",
590,Standing Calf Raise:  Single Leg,Body Weight,Yes,Basic or Auxiliary,Isolated,Push,Position toes and balls of feet on calf block or elevation with heels and arches extending off. Place hand or hands on support for balance. Lift one leg to rear by bending knee.,Raise heel by extending ankle as high as possible. Lower heel by bending ankle until calf is stretched. Repeat. Continue with opposite leg.,"Gastrocnemius,","Soleus, ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,,Calves,3,"Gastrocnemius, Soleus",589
591,Single Leg Calf Raise,Self-assisted,No,Basic or Auxiliary,Isolated,Push,Position toes and balls of feet on calf block with heels and arches extending off. Place hands on support for assistance. Lift one leg to rear by bending knee.,"Raise heel by extending ankle as high as possible, assisting with upper body as little as possible. Lower heel by bending ankle until calf is stretched. Repeat. Continue with opposite leg.","Gastrocnemius,","Soleus, ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,,Calves,3,"Gastrocnemius, Soleus",
592,Forward Angled Single Leg Calf Raise,Suspended,No,Basic or Auxiliary,Isolated,Push,Position toes and balls of feet on calf block with heels and arches extending off. Place hands on support for assistance. Lift one leg to rear by bending knee.,"Raise heel by extending ankle as high as possible, assisting with upper body as little as possible. Lower heel by bending ankle until calf is stretched. Repeat. Continue with opposite leg.","Gastrocnemius,","Soleus, ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,,Calves,3,"Gastrocnemius, Soleus",
593,Safety Barbell Seated Calf Raise,Barbell,No,Auxiliary,Isolated,Push,Place safety bar on rack approximately lower leg height with calf block slightly rear of safety bar. Sit on bench facing safety bar and place toes on lower portion of platform with heels extending off. Scoot forward to edge of bench and position lower thighs under safety bar. Grasp bar to sides and lift bar from rack by pushing heels up. Slide back to center of bench.,Lower heels by bending ankles until calves are stretched. Raise heels by extending ankles as high as possible. Repeat.,"Soleus,","Gastrocnemius, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
594,Seated Calf Raise,Lever (plate loaded),No,Auxiliary,Isolated,Push,Sit on seat facing lever. Place forefeet on platform with heels extending off. Position lower thighs under lever pads. Grasp handles if available or place hands on lever pad. Lift lever slightly by pushing heels up. Release support lever.,Lower heels by bending ankles until calves are stretched. Raise heels by extending ankles as high as possible. Repeat.,"Soleus,","Gastrocnemius, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
595,Seated Calf Raise,Lever (selectorized),No,Auxiliary,Isolated,Push,Sit on seat facing lever. Reach forward and pull hand lever toward body. Place forefeet on platform with heels extending off. Position lower thighs under lever pads. Release hand lever by pushing away from body. Place hands on top of thigh pads.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Soleus,","Gastrocnemius, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
596,Seated Calf Raise,Smith,No,Auxiliary,Isolated,Push,Position bar slightly higher than lower leg height. Wrap bar pad around center of bar. Place calf block under bar and bench near bar. Sit on bench facing bar and place toes on lower portion of platform with heels extending off. Grasp bar to sides and extend ankles to raise knees so lower thighs are under padded bar. Push heels further up. Disengage bar by rotating bar back.,Lower heels by bending ankles until calves are stretched. Raise heels by extending ankles as high as possible. Repeat.,"Soleus,","Gastrocnemius, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
596,Seated Calf Raise,Barbell,No,Auxiliary,Isolated,Push,Position bar on knees. Place calf block under feet. Sit on bench and place toes on lower portion of platform with heels extending off. Grasp bar to sides and extend ankles to raise knees so lower thighs are under bar. Push heels further up.,Lower heels by bending ankles until calves are stretched. Raise heels by extending ankles as high as possible. Repeat.,"Soleus,","Gastrocnemius, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
596,Seated Calf Raise,Dumbbell,No,Auxiliary,Isolated,Push,Position dumbbells on knees. Place calf block under feet. Sit on bench and place toes on lower portion of platform with heels extending off. Grasp bar to sides and extend ankles to raise knees so lower thighs are under dumbbell. Push heels further up.,Lower heels by bending ankles until calves are stretched. Raise heels by extending ankles as high as possible. Repeat.,"Soleus,","Gastrocnemius, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
