,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
101,Triceps Extension,Dumbbell,No,Basic or Auxiliary,Isolated,Push,Position one dumbbell over head with both hands under inner plate (heart shaped grip).,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.","Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis Major, Clavicular, Wrist Flexors, ",,,Upper Arms,2,Posterior Deltoid,
111,Bench Dip,Weighted,No,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
112,Triceps Dip,Weighted,No,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
113,Triceps Dip,Band-assisted,No,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
114,Bench Dip,Body Weight,No,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench, straighten arms, slide rear end off of bench, and position heels on adjacent bench with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
115,Bench Dip:  heel on floor,Body Weight,Yes,Basic,Compound,Push,"Sit on side of bench. Place hands on edge of bench. Position feet away from bench. Straighten arms, slide rear end off of edge of bench, and rest heels on floor with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise your body and repeat.","Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,2,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",114
116,Close Grip Push-up,Body Weight,No,Basic,Compound,Push,Lie prone with forefeet on floor and hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Deltoid, Anterior, Coracobrachialis, ","Serratus Anterior, Pectoralis Minor, Rectus Abdominis, Obliques, Quadriceps, ",,"Biceps Brachii, Short Head, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
117,Close Grip Push-up:  on knees,Body Weight,Yes,Basic,Compound,Push,Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Deltoid, Anterior, Coracobrachialis, ","Rectus Abdominis, Obliques, ",,"Biceps Brachii, Short Head, ",Upper Arms,2,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",116
118,Close Grip Push-up:  Incline on bar,Body Weight,Yes,Basic,Compound,Push,Grasp horizontal bar (lower than chest height) with hands shoulder width or slightly narrower. Position forefeet back from bar with arms and body straight. Arms should be perpendicular to body.,"Keeping body straight, lower chest to bar by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Deltoid, Anterior, Coracobrachialis, ","Rectus Abdominis, Obliques, Quadriceps, Gastrocnemius, Soleus, ",,"Biceps Brachii, Short Head, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",116
119,Triceps Dip,Body Weight,No,Basic,Compound,Push,"Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
