,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
32,Shoulder Press:  One Arm,Dumbbell,Yes,Basic or Auxiliary,Compound,Push,Stand with dumbbells positioned near shoulder with elbow below wrists.,Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Pectoralis Major, Clavicular, Coracobrachialis, Obliques, Psoas major, Iliocastalis lumborum, Iliocastalis thoracis, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",31
33,Military Press,Lever (plate loaded),No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever until arms are extended upward. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",
34,Reclined Shoulder Press,Lever (plate loaded),No,Basic,Compound,Push,Lie on back pad facing up. Grasp lever handles on each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
35,Shoulder Press,Lever (plate loaded),No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
36,Reclined Shoulder Press,Lever (selectorized),No,Basic,Compound,Push,Lie on back pad facing up. Grasp lever handles to each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
37,Shoulder Press,Lever (selectorized),No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
38,Shoulder Press:  Parallel Grip,Lever (selectorized),Yes,Basic,Compound,Push,Sit on seat and grasp parallel bar grips in front of shoulders on each side.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",37
39,Shoulder Press,Sled,No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press handles upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
40,Shoulder Press,Smith,No,Basic,Compound,Push,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.,Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
41,Pike Press,Body Weight,No,Basic,Compound,Push,"Kneel on on the ground. Place out on the ground in front of you. Raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight. Perform elevated to increase range of motion.",Lower head to ground. Push body back up to original position by extending arms. Repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Serratus Anterior, Quadriceps, Iliopsoas, Tensor Fasciae Latae, Sartorius, Rectus Abdominis, Obliques, ",,,Shoulder,4,"Anterior Deltoid, Triceps Brachii",
43,Front Raise,Suspended,No,Auxiliary,Isolated,Push,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward.",Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Erector Spinae, Gluteus Maximus, Hamstrings, Trapezius, Upper, Levator Scapulae, Wrist Extensors, ","Rectus Abdominis, Obliques, ",,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
